status	loglr	df	p	cluster	p.adjust
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_17777_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_17778_NA	NA
Success	0.284015945387011	2	0.752754641646414	chr1_KI270711v1_random:clu_17779_NA	1
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1_KI270711v1_random:clu_17780_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3449_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3450_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3451_NA	NA
Success	0.5183057356125	6	0.984186266277447	chr1:clu_3452_NA	1
Not enough valid samples	NA	NA	NA	chr1:clu_3453_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3454_NA	NA
Success	0.193605928036192	1	0.533768621479786	chr1:clu_3455_NA	0.984745396884648
Success	0.186240478213684	1	0.541655030401854	chr1:clu_3456_NA	0.989806734520453
Not enough valid samples	NA	NA	NA	chr1:clu_3457_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3458_NA	NA
Success	7.50926117110305	9	0.0904284544716699	chr1:clu_3459_NA	0.484999414398224
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3460_NA	NA
Success	1.46576195690204	2	0.230901987069216	chr1:clu_3461_NA	0.722208058396782
Success	0.277422195362078	4	0.967946890935023	chr1:clu_3462_NA	1
Success	1.72116828473523	2	0.178857069819443	chr1:clu_3463_NA	0.653813692023965
Success	1.85667396686519	2	0.156191264714179	chr1:clu_3464_NA	0.620562867339716
Not enough valid samples	NA	NA	NA	chr1:clu_3465_NA	NA
Success	1.54496367833849	4	0.542890682754249	chr1:clu_3466_NA	0.990880456206774
Success	0.847681415295483	2	0.428407079416929	chr1:clu_3467_NA	0.910623993881511
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3468_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3469_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3470_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3471_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3472_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3473_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3474_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3475_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3476_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3477_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3478_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3479_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3480_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3481_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3482_NA	NA
Success	0.790756474679768	3	0.663588861127881	chr1:clu_3483_NA	1
Not enough valid samples	NA	NA	NA	chr1:clu_3484_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3485_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3486_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3487_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3488_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3489_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3490_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3491_NA	NA
Success	-0.464399724432099	2	1	chr1:clu_3492_NA	1
Success	-1.27079439962927	7	1	chr1:clu_3493_NA	1
Success	7.42749863268045	4	0.00501160715052347	chr1:clu_3494_NA	0.0990658668101789
Success	0.703087832124766	2	0.49505429670059	chr1:clu_3495_NA	0.959508609471754
Success	1.30177491247508	2	0.272048501981236	chr1:clu_3496_NA	0.76780558753388
Success	-3.22172207074618	5	1	chr1:clu_3497_NA	1
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3498_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3499_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3500_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3501_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3502_NA	NA
Success	0.0449052498612588	1	0.764418204312864	chr1:clu_3503_NA	1
Success	-3.64748338765219	2	1	chr1:clu_3504_NA	1
Success	0.1177685536721	1	0.627448197871909	chr1:clu_3505_NA	1
Success	9.90341175111098e-06	1	0.996449037846038	chr1:clu_3506_NA	1
Success	1.25254395945413	1	0.113479151720208	chr1:clu_3507_NA	0.538343914999218
Not enough valid samples	NA	NA	NA	chr1:clu_3508_NA	NA
Success	0.343134401439329	5	0.983713767302115	chr1:clu_3509_NA	1
Not enough valid samples	NA	NA	NA	chr1:clu_3510_NA	NA
Success	0.0707052362032101	1	0.706882818795704	chr1:clu_3511_NA	1
Success	0.115319844569854	2	0.891081090874714	chr1:clu_3512_NA	1
Success	0.0670514596301786	1	0.714215353938329	chr1:clu_3513_NA	1
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3514_NA	NA
Success	0.549171387709237	2	0.577428076205627	chr1:clu_3515_NA	1
Success	0.954617558631981	3	0.59145729222538	chr1:clu_3516_NA	1
Success	2.1757310887479	1	0.03697718623779	chr1:clu_3517_NA	0.314776018213053
