status	loglr	df	p	cluster	p.adjust
Success	1.98137560045535	2	0.137879439777893	chr1_KI270711v1_random:clu_15750_NA	0.578422159500273
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1_KI270711v1_random:clu_15751_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3036_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3037_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3038_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3039_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3040_NA	NA
Success	0.085898355074562	1	0.678519926218723	chr1:clu_3041_NA	0.912760859463723
Not enough valid samples	NA	NA	NA	chr1:clu_3042_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3043_NA	NA
Success	10.9730653095537	9	0.00905128139924421	chr1:clu_3044_NA	0.20153438542532
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3045_NA	NA
Success	1.09432733013841	2	0.334764717363717	chr1:clu_3046_NA	0.761540331593576
Success	0.503344802339825	3	0.799633274426458	chr1:clu_3047_NA	0.952458985908946
Success	1.52991681022481	1	0.0802498860905398	chr1:clu_3048_NA	0.482950056309461
Success	4.01782883399677	2	0.017991986152073	chr1:clu_3049_NA	0.282491204002371
Success	3.1361864407163	4	0.179709750464697	chr1:clu_3050_NA	0.630016941284282
Success	0.537697656624914	2	0.584091484649803	chr1:clu_3051_NA	0.881604849310308
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3052_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3053_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3054_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3055_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3056_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3057_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3058_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3059_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3060_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3061_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3062_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3063_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3064_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3065_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3066_NA	NA
Success	0.917156549629055	3	0.60749663897241	chr1:clu_3067_NA	0.890517630377602
Not enough valid samples	NA	NA	NA	chr1:clu_3068_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3069_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3070_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3071_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3072_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3073_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3074_NA	NA
Success	0.577193063749405	2	0.561472173341488	chr1:clu_3075_NA	0.873858997939528
Success	3.82385576830347	7	0.364680376622337	chr1:clu_3076_NA	0.780637106034984
Success	3.62588812852073	2	0.0266254400198832	chr1:clu_3077_NA	0.335333258996035
Success	0.530992364782833	3	0.786258124321649	chr1:clu_3078_NA	0.948214158434755
Success	1.89171831310114	4	0.436107103462249	chr1:clu_3079_NA	0.819503537436234
Success	1.66152087082992	7	0.853597903263353	chr1:clu_3080_NA	0.967732237349799
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3081_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3082_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3083_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3084_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3085_NA	NA
Success	0.0449046640038162	1	0.764419695622754	chr1:clu_3086_NA	0.941373051859721
Success	0.933962119121588	2	0.392993534413762	chr1:clu_3087_NA	0.796753609954083
Success	0.117769711078253	1	0.627446506462943	chr1:clu_3088_NA	0.897076638630406
Success	2.41720412148538e-05	1	0.994452360610258	chr1:clu_3089_NA	1
Success	0.912117954181866	1	0.176809891212146	chr1:clu_3090_NA	0.627609110989097
Not enough valid samples	NA	NA	NA	chr1:clu_3091_NA	NA
Success	0.725754283600963	4	0.835194987995623	chr1:clu_3092_NA	0.962531324254015
Not enough valid samples	NA	NA	NA	chr1:clu_3093_NA	NA
Success	0.0708589492411136	1	0.706579126434441	chr1:clu_3094_NA	0.922875805711626
Success	0.11709878251213	2	0.889497322043413	chr1:clu_3095_NA	0.977481580789996
Success	0.0670283169352928	1	0.714262512147079	chr1:clu_3096_NA	0.925832211439141
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3097_NA	NA
Success	0.54359581415838	2	0.580656560878056	chr1:clu_3098_NA	0.880089488295761
Success	1.14554864961519	3	0.514228573306138	chr1:clu_3099_NA	0.854429306447068
Success	2.17573133831387	1	0.0369771754010224	chr1:clu_3100_NA	0.373818661887134
Success	0.324723884313016	1	0.420310185868742	chr1:clu_3101_NA	0.810966241975951
Success	0.000298519859462942	1	0.980506112288961	chr1:clu_3102_NA	0.997885381179937
Success	1.94353717408467	5	0.565786496878468	chr1:clu_3103_NA	0.874582675648277
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3104_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3105_NA	NA
Success	3.02625205392311	1	0.0138865895636836	chr1:clu_3106_NA	0.249418578107718
Success	7.72471963489352	10	0.116514957019109	chr1:clu_3107_NA	0.546183504649084
Success	0.137245057407313	2	0.871756569549373	chr1:clu_3108_NA	0.972193511332571
Success	0.0530707354568847	2	0.948312930761371	chr1:clu_3109_NA	0.991415809821084
Success	1.18962099180567	1	0.122957196405605	chr1:clu_3110_NA	0.555273943259283
Success	0.197817282168071	1	0.529352405427263	chr1:clu_3111_NA	0.860646268176686
Success	1.04643711497681	2	0.351186760797766	chr1:clu_3112_NA	0.772333951992593
Success	1.37733794404414	2	0.252249161447797	chr1:clu_3113_NA	0.700329680996188
Success	0.0889561776444552	1	0.67317350187851	chr1:clu_3114_NA	0.911137517769912
Success	0.615090005247318	1	0.267372033174759	chr1:clu_3115_NA	0.712918584127008
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3116_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3117_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3118_NA	NA
Success	2.45091609793553	6	0.55646426092889	chr1:clu_3119_NA	0.871641139974643
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3120_NA	NA
Success	0.0336068349355116	1	0.795437731361039	chr1:clu_3121_NA	0.951340281176882
Success	14.0847325556979	14	0.0135086746488805	chr1:clu_3122_NA	0.245771216318688
Success	4.67289444127437	11	0.59000752235	chr1:clu_3123_NA	0.88359273376205
Success	3.59679069384038	5	0.206636918174411	chr1:clu_3124_NA	0.659744377303843
Success	0.0580475987957243	1	0.733308769141024	chr1:clu_3125_NA	0.932830721417934
Success	0.844256921897681	4	0.792803026976172	chr1:clu_3126_NA	0.950716686281144
Success	2.02375642273682	8	0.852811426812056	chr1:clu_3127_NA	0.967451258950622
Success	1.06158081731974	4	0.713118451121562	chr1:clu_3128_NA	0.925350974303035
Success	2.98420177049331	3	0.113157621456363	chr1:clu_3129_NA	0.541983096545808
Success	0.379672827925447	2	0.684085186173105	chr1:clu_3130_NA	0.915076092059104
Success	0.317979262726226	3	0.888153371182641	chr1:clu_3131_NA	0.976830991718711
Success	0.148797302291264	1	0.58539433195615	chr1:clu_3132_NA	0.882024513974258
Success	1.34910782918632	4	0.609526885510917	chr1:clu_3133_NA	0.891052712586479
Success	0.455653290461555	3	0.822698449002704	chr1:clu_3134_NA	0.958791711050698
Success	2.26416472338934	4	0.339201544797717	chr1:clu_3135_NA	0.764581046037104
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3136_NA	NA
