status	loglr	df	p	cluster	p.adjust
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_17777_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_17778_NA	NA
Success	13.174672817172	2	1.89807030436947e-06	chr1_KI270711v1_random:clu_17779_NA	8.10739309563326e-06
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1_KI270711v1_random:clu_17780_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3449_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3450_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3451_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3452_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3453_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3454_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3455_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3456_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3457_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3458_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3459_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3460_NA	NA
Success	8.2108927968149	2	0.000271678059675538	chr1:clu_3461_NA	0.00065537187181181
Success	15.1633449232879	3	1.17805836368034e-06	chr1:clu_3462_NA	5.3063663552625e-06
Not enough valid samples	NA	NA	NA	chr1:clu_3463_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3464_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3465_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3466_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3467_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3468_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3469_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3470_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3471_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3472_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3473_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3474_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3475_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3476_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3477_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3478_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3479_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3480_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3481_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3482_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3483_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3484_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3485_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3486_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3487_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3488_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3489_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3490_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3491_NA	NA
Success	2.71873981795719	2	0.0659578209374758	chr1:clu_3492_NA	0.0847364795079143
Success	16.7804889672343	7	2.08076953499386e-05	chr1:clu_3493_NA	6.73089339879512e-05
Success	10.6581159771627	4	0.000274073732982902	chr1:clu_3494_NA	0.000660069931935248
Success	5.74584673774143	2	0.00319602720873984	chr1:clu_3495_NA	0.00583090224137868
Not enough valid samples	NA	NA	NA	chr1:clu_3496_NA	NA
Success	19.736348710544	5	1.90742661825084e-07	chr1:clu_3497_NA	1.05851696946887e-06
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3498_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3499_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3500_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3501_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3502_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3503_NA	NA
Success	4.93282723093569	2	0.00720610114211208	chr1:clu_3504_NA	0.0119650387681382
Not enough valid samples	NA	NA	NA	chr1:clu_3505_NA	NA
Success	2.13542773128265	1	0.0387714067108447	chr1:clu_3506_NA	0.0532425307757114
Not enough valid samples	NA	NA	NA	chr1:clu_3507_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3508_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3509_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3510_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3511_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3512_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3513_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3514_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3515_NA	NA
Success	1.68390527725251	3	0.338315641907313	chr1:clu_3516_NA	0.357789084587552
Success	0.900073001907288	1	0.179694844732127	chr1:clu_3517_NA	0.203609614759942
