status	loglr	df	p	cluster	p.adjust
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_17777_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_17778_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_17779_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1_KI270711v1_random:clu_17780_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3449_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3450_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3451_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3452_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3453_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3454_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3455_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3456_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3457_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3458_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3459_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3460_NA	NA
Success	1.72466445549611	1	0.0632774569857402	chr1:clu_3461_NA	0.106994284810153
Success	0.248111117968449	1	0.481164758746406	chr1:clu_3462_NA	0.527795812665453
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3463_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3464_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3465_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3466_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3467_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3468_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3469_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3470_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3471_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3472_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3473_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3474_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3475_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3476_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3477_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3478_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3479_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3480_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3481_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3482_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3483_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3484_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3485_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3486_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3487_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3488_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3489_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3490_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3491_NA	NA
Success	1.4836622451526	1	0.0849622648617937	chr1:clu_3492_NA	0.132124846482349
Success	1.28426990046697	1	0.109008310900381	chr1:clu_3493_NA	0.158516466044115
Success	0.68623771885089	1	0.241387024221236	chr1:clu_3494_NA	0.29600016729258
Success	1.23887443731826	2	0.289710121393424	chr1:clu_3495_NA	0.344235658057801
Not enough valid samples	NA	NA	NA	chr1:clu_3496_NA	NA
Success	3.91843431211316	3	0.049506238456153	chr1:clu_3497_NA	0.0909194880201283
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3498_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3499_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3500_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3501_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3502_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3503_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3504_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3505_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3506_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3507_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3508_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3509_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3510_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3511_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3512_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3513_NA	NA
