status	loglr	df	p	cluster	p.adjust
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_17777_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_17778_NA	NA
Success	1.98137560045535	2	0.137879439777893	chr1_KI270711v1_random:clu_17779_NA	0.58229272887386
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1_KI270711v1_random:clu_17780_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3449_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3450_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3451_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3452_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3453_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3454_NA	NA
Success	0.085898355074562	1	0.678519926218723	chr1:clu_3455_NA	0.914723041799051
Success	0.899079689625189	1	0.17993517632603	chr1:clu_3456_NA	0.636174508302316
Not enough valid samples	NA	NA	NA	chr1:clu_3457_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3458_NA	NA
Success	10.9730653095537	9	0.00905128139924421	chr1:clu_3459_NA	0.206765209463985
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3460_NA	NA
Success	1.09432733013841	2	0.334764717363717	chr1:clu_3461_NA	0.761828424049499
Success	0.503344802339825	3	0.799633274426458	chr1:clu_3462_NA	0.95333682346887
Success	2.03901214016346	2	0.130157224485764	chr1:clu_3463_NA	0.570499073498469
Success	4.01782883399677	2	0.017991986152073	chr1:clu_3464_NA	0.290690758581749
Not enough valid samples	NA	NA	NA	chr1:clu_3465_NA	NA
Success	3.1361864407163	4	0.179709750464697	chr1:clu_3466_NA	0.635855194971934
Success	0.537697656624914	2	0.584091484649803	chr1:clu_3467_NA	0.882478126274976
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3468_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3469_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3470_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3471_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3472_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3473_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3474_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3475_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3476_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3477_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3478_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3479_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3480_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3481_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3482_NA	NA
Success	0.917156549629055	3	0.60749663897241	chr1:clu_3483_NA	0.890534845766374
Not enough valid samples	NA	NA	NA	chr1:clu_3484_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3485_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3486_NA	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_3487_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3488_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3489_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3490_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3491_NA	NA
Success	0.577193063749405	2	0.561472173341488	chr1:clu_3492_NA	0.875197918594426
Success	3.82385576830347	7	0.364680376622337	chr1:clu_3493_NA	0.781800323364728
Success	4.52607415572265	3	0.0286055212686538	chr1:clu_3494_NA	0.34846072976366
Success	0.382287978455224	2	0.682298537631754	chr1:clu_3495_NA	0.91623846692796
Success	0.64614075614648	2	0.524064371335217	chr1:clu_3496_NA	0.859530316282255
Success	1.224986681686	5	0.784009609493028	chr1:clu_3497_NA	0.949522387087401
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3498_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3499_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3500_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3501_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3502_NA	NA
Success	0.0449046640038162	1	0.764419695622754	chr1:clu_3503_NA	0.943890307885886
Success	0.933962119121588	2	0.392993534413762	chr1:clu_3504_NA	0.796814738322282
Success	0.117769711078253	1	0.627446506462943	chr1:clu_3505_NA	0.897853350883005
Success	2.41720412148538e-05	1	0.994452360610258	chr1:clu_3506_NA	1
Success	0.912117954181866	1	0.176809891212146	chr1:clu_3507_NA	0.633017127930296
Not enough valid samples	NA	NA	NA	chr1:clu_3508_NA	NA
Success	0.725754283600963	4	0.835194987995623	chr1:clu_3509_NA	0.961852231548964
Not enough valid samples	NA	NA	NA	chr1:clu_3510_NA	NA
Success	0.0708589492411136	1	0.706579126434441	chr1:clu_3511_NA	0.92480655472708
Success	0.11709878251213	2	0.889497322043413	chr1:clu_3512_NA	0.977618076473657
Success	0.0670283169352928	1	0.714262512147079	chr1:clu_3513_NA	0.928022171462128
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3514_NA	NA
