status	loglr	df	p	cluster	p.adjust
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_16329_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1_KI270711v1_random:clu_16330_NA	NA
Success	3.92005563465165	2	0.0198399909226816	chr1_KI270711v1_random:clu_16331_NA	0.0560209759241378
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1_KI270711v1_random:clu_16332_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3144_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3145_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3146_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3147_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3148_NA	NA
Success	0.363034748650563	1	0.39416019182469	chr1:clu_3149_NA	0.472062537012101
Success	0.263621900073062	1	0.467767933595182	chr1:clu_3150_NA	0.53915658978886
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3151_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3152_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3153_NA	NA
Success	3.25251328140689	2	0.038676879693843	chr1:clu_3154_NA	0.0895342888845358
Not enough valid samples	NA	NA	NA	chr1:clu_3155_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3156_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3157_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3158_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3159_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3160_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3161_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3162_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3163_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3164_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3165_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3166_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3167_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3168_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3169_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3170_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3171_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3172_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3173_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3174_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3175_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3176_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3177_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3178_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3179_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3180_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3181_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3182_NA	NA
Success	1.47552663601766	2	0.228658275647292	chr1:clu_3183_NA	0.313962009578177
Success	7.37610926668958	6	0.0222739657834251	chr1:clu_3184_NA	0.0607946666812788
Success	8.04526844639304	3	0.00108653216247086	chr1:clu_3185_NA	0.00751027872291972
Success	6.61509402772026	7	0.0666946003542988	chr1:clu_3186_NA	0.130494665678337
Success	4.94554007510919	5	0.0783809275424194	chr1:clu_3187_NA	0.146002269463442
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3188_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3189_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3190_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3191_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3192_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3193_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3194_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3195_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3196_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3197_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3198_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3199_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3200_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3201_NA	NA
Success	0.465855548744223	1	0.33441869184377	chr1:clu_3202_NA	0.417041401821244
Success	2.07456818664387	1	0.0416557645077385	chr1:clu_3203_NA	0.0942432474021808
Not enough valid samples	NA	NA	NA	chr1:clu_3204_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3205_NA	NA
Success	1.47840545868487	1	0.0855164553741694	chr1:clu_3206_NA	0.155400009702415
Success	19.2313077406561	9	1.43959178591701e-05	chr1:clu_3207_NA	0.000362011474586001
Not enough valid samples	NA	NA	NA	chr1:clu_3208_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3209_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3210_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3211_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3212_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3213_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3214_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3215_NA	NA
<=1 sample with coverage>min_coverage	NA	NA	NA	chr1:clu_3216_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3217_NA	NA
Success	4.29239782437162	13	0.803529358027817	chr1:clu_3218_NA	0.834222268089721
Not enough valid samples	NA	NA	NA	chr1:clu_3219_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3220_NA	NA
Success	1.32400437837765	1	0.103679694501963	chr1:clu_3221_NA	0.178355338623983
Not enough valid samples	NA	NA	NA	chr1:clu_3222_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3223_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3224_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3225_NA	NA
Success	9.33429228006889	3	0.000320106264697531	chr1:clu_3226_NA	0.00325345431505826
Success	1.34324491861707	3	0.442528089583687	chr1:clu_3227_NA	0.516524589809156
Not enough valid samples	NA	NA	NA	chr1:clu_3228_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3229_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3230_NA	NA
Success	3.33913722173247	4	0.153898545331547	chr1:clu_3231_NA	0.235915399277235
Not enough valid samples	NA	NA	NA	chr1:clu_3232_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3233_NA	NA
Success	0.114385460074544	1	0.632436673946822	chr1:clu_3234_NA	0.684828547276108
Not enough valid samples	NA	NA	NA	chr1:clu_3235_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3236_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3237_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3238_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3239_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3240_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3241_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3242_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3243_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3244_NA	NA
Not enough valid samples	NA	NA	NA	chr1:clu_3245_NA	NA
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_3246_NA	NA
Success	1.66961679984892	1	0.067646110384644	chr1:clu_3247_NA	0.131779268255751
Success	2.96164102242528	5	0.313755644619036	chr1:clu_3248_NA	0.397442788230184
Success	5.51724988967385	4	0.0261790083131001	chr1:clu_3249_NA	0.0681241032887211
Success	0.5838954082584	1	0.279855633603513	chr1:clu_3250_NA	0.364625682361347
Success	6.17738832371106	14	0.577834636638905	chr1:clu_3251_NA	0.636213806113763
Success	0.00215939899890571	1	0.947602689926066	chr1:clu_3252_NA	0.9553375777832
Success	3.412935540935	5	0.233915943291672	chr1:clu_3253_NA	0.319658126328737
Not enough valid samples	NA	NA	NA	chr1:clu_3254_NA	NA
